anime_id,mal_id,title,english_title,user_preferred_title,cover_image_large
179878,59419.0,Project Sekai: Kowareta SEKAI to Utaenai MIKU,COLORFUL STAGE! The Movie: A Miku Who Can't Sing,Project Sekai: Kowareta SEKAI to Utaenai MIKU,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179878-jG5GTXhe2vou.jpg
169295,56653.0,BanG Dream! Ave Mujica,Ave Mujica - The Die is Cast -,BanG Dream! Ave Mujica,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169295-r5GrXXAQUSOI.png
175409,58259.0,"Douse, Koishite Shimaunda.","Anyway, I'm Falling in Love with You.","Douse, Koishite Shimaunda.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175409-ZYYEw0H6QypN.jpg
176234,58484.0,Ishura 2nd Season,ISHURA Season 2,Ishura 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176234-Wx2rAYr7YSD8.jpg
170650,57050.0,Kisaki Kyouiku kara Nigetai Watashi,I Want to Escape from Princess Lessons,Kisaki Kyouiku kara Nigetai Watashi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx170650-iVQC67atMVj3.png
170916,57152.0,Mahoutsukai no Yakusoku,Promise of Wizard,Mahoutsukai no Yakusoku,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx170916-B6VKOdSOBccU.jpg
145740,51119.0,Grisaia: Phantom Trigger,Grisaia: Phantom Trigger,Grisaia: Phantom Trigger,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx145740-KtUZ6O59DaDq.jpg
177159,58739.0,Momentary Lily,Momentary Lily,Momentary Lily,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177159-Yt7VNCVjlnxR.jpg
178495,59136.0,Tasokare Hotel,TASOKARE HOTEL,Tasokare Hotel,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178495-RJCGa2YRdKBU.jpg
174596,58066.0,Sora-iro Utility (TV),Sorairo Utility (TV),Sora-iro Utility (TV),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx174596-GbgKrUtBBuIg.jpg
154392,52967.0,Versailles no Bara Movie,The Rose of Versailles,Versailles no Bara Movie,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154392-I35rrWRu9KlY.jpg
154064,54740.0,MAKE A GIRL,,MAKE A GIRL,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154064-qYnRF4BQsuM6.png
182158,59957.0,Senpai wa Otokonoko: Ame Nochi Hare,Senpai is an Otokonoko Movie: Sunshine After the Rain,Senpai wa Otokonoko: Ame Nochi Hare,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182158-ztLTD2FKPnrd.jpg
179852,59408.0,Mononoke: Hinezumi,Mononoke The Movie: Chapter II - The Ashes of Rage,Mononoke: Hinezumi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179852-tPwGOkCxA8em.jpg
178312,59113.0,FARMAGIA,Farmagia,FARMAGIA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178312-iGhE7xvvCReS.jpg
175422,58265.0,Baban Baban Ban Vampire,Babanba Banban Vampire,Baban Baban Ban Vampire,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175422-4I9gEsW7px6C.png
185073,60407.0,Kimi to Idol Precure♪,You and Idol Precure ♪,Kimi to Idol Precure♪,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185073-ilizz2Jd9223.png
181440,59843.0,Aldnoah.Zero: Ame no Danshou - The Penultimate Truth,ALDNOAH.ZERO: The Penultimate Truth,Aldnoah.Zero: Ame no Danshou - The Penultimate Truth,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181440-YfrrFmLHwFBR.jpg
177778,58964.0,Ninja Batman vs. Yakuza League,Batman Ninja vs. Yakuza League,Ninja Batman vs. Yakuza League,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177778-LF9pwTXJRY0R.jpg
